lipids	converted_lipid_name
DG 38:2|DG 20:0_18:2	DG 38:2(x)|DG 20:0_18:2(x2)
DG 38:3	DG 38:3
DG 38:3|DG 18:0_20:3	DG 38:3(x)|DG 18:0_20:3(x2)
DG 38:3|DG 20:1_18:2	DG 38:3(x)|DG 20:1_18:2(x2)
DG 38:4	DG 38:4
DG 38:4|DG 18:0_20:4	DG 38:4(x)|DG 18:0_20:4(x2)
DG 38:4|DG 18:1_20:3	DG 38:4(x)|DG 18:1_20:3(x2)
DG 38:5|DG 16:0_22:5	DG 38:5(x)|DG 16:0_22:5(x2)
DG 38:5|DG 18:0_20:5	DG 38:5(x)|DG 18:0_20:5(x2)
DG 38:6	DG 38:6
DG 38:6|DG 16:0_22:6	DG 38:6(x)|DG 16:0_22:6(x2)
DG 38:6|DG 18:2_20:4	DG 38:6(x)|DG 18:2_20:4(x2)
DG 38:7|DG 16:1_22:6	DG 38:7(x)|DG 16:1_22:6(x2)
DG 38:8	DG 38:8
DG 39:4|DG 19:0_20:4	DG 39:4(x)|DG 19:0_20:4(x2)
DG 40:1|DG 22:0_18:1	DG 40:1(x)|DG 22:0_18:1(x2)
DG 40:2	DG 40:2
DG 40:2|DG 18:1_22:1	DG 40:2(x)|DG 18:1_22:1(x2)
DG 40:2|DG 22:0_18:2	DG 40:2(x)|DG 22:0_18:2(x2)
DG 40:3|DG 22:1_18:2	DG 40:3(x)|DG 22:1_18:2(x2)
DG 40:4|DG 18:0_22:4	DG 40:4(x)|DG 18:0_22:4(x2)
DG 40:4|DG 18:1_22:3	DG 40:4(x)|DG 18:1_22:3(x2)
DG 40:5|DG 18:0_22:5	DG 40:5(x)|DG 18:0_22:5(x2)
DG 40:5|DG 18:1_22:4	DG 40:5(x)|DG 18:1_22:4(x2)
DG 40:6|DG 16:0_24:6	DG 40:6(x)|DG 16:0_24:6(x2)
DG 40:6|DG 18:0_22:6	DG 40:6(x)|DG 18:0_22:6(x2)
DG 40:6|DG 18:1_22:5	DG 40:6(x)|DG 18:1_22:5(x2)
DG 40:7|DG 18:1_22:6	DG 40:7(x)|DG 18:1_22:6(x2)
DG 40:8|DG 18:2_22:6	DG 40:8(x)|DG 18:2_22:6(x2)
DG 41:7	DG 41:7
DG 42:2|DG 24:0_18:2	DG 42:2(x)|DG 24:0_18:2(x2)
DG 42:3|DG 24:1_18:2	DG 42:3(x)|DG 24:1_18:2(x2)
DG 42:5|DG 18:0_24:5	DG 42:5(x)|DG 18:0_24:5(x2)
DG 42:6|DG 16:0_26:6	DG 42:6(x)|DG 16:0_26:6(x2)
DG 42:7|DG 18:1_24:6	DG 42:7(x)|DG 18:1_24:6(x2)
DG 44:3	DG 44:3
