lipids	converted_lipid_name
HexCer 41:1;O4|HexCer 18:0;O3/23:1(2OH)	HexCer 41:1(O4)|HexCer 18:0(O3/23:1(2OH))
HexCer 41:2;O2|HexCer 18:2;O2/23:0	HexCer 41:2(O2)|HexCer 18:2(O2/23:0)
HexCer 41:2;O4|HexCer 17:2;O3/24:0(2OH)	HexCer 41:2(O4)|HexCer 17:2(O3/24:0(2OH))
HexCer 41:3;O3	HexCer 41:3(O3)
HexCer 42:0;O2|HexCer 18:0;O2/24:0	HexCer 42:0(O2)|HexCer 18:0(O2/24:0)
HexCer 42:0;O3|HexCer 18:0;O2/24:0;O	HexCer 42:0(O3)|HexCer 18:0(O2/24:0;O)
HexCer 42:1;O2|HexCer 18:1;O2/24:0	HexCer 42:1(O2)|HexCer 18:1(O2/24:0)
HexCer 42:1;O3|HexCer 18:1;O2/24:0;O	HexCer 42:1(O3)|HexCer 18:1(O2/24:0;O)
HexCer 42:2;O2|HexCer 18:0;O2/24:2	HexCer 42:2(O2)|HexCer 18:0(O2/24:2)
HexCer 42:2;O2|HexCer 18:1;O2/24:1	HexCer 42:2(O2)|HexCer 18:1(O2/24:1)
